Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-2380.934	-2448.613	67.67936	0.199011	0.191562	0.00633262	0.161941	0.0837839	0.198897	0.0453719	0.0178608	0.107219	0.00795361	0.191657	0.0788823	0.0503769	0.030362	0.00750198	0.0450254	0.0255641	0.125348	0.0542262	0.039383	0.0157782	0.0166811	0.0142483	0.022341	0.0314534	0.0160663	0.0204786	0.00461146	0.0593263	0.0123656	0.0057054	0.112349	0.00415565	0.0494495	0.0799075	0.0237204	0.000665946	0.101384	0.0328533	0.0250234	0.0936583	0.0689866	0.0199548	0.0094992	0.322909	0.2569	0.0385569	0.00315099	0.0313973	0.00632213	0.0884027	0.923179	1.04481	1.063034	0.9369658	0.186389	0.44074	0.774447	1.29124	2.26891	5.36511	1.214696	0.881407	0.5154237	0.0611108	0.0588235	0.00194457	0.0497275	0.0257277	0.0610757	0.0139325	0.00548457	0.0329239	0.00244233	0.0588526	0.0242226	0.0154694	0.00932335	0.00230365	0.0138261	0.00785005	0.0384908	0.0166514	0.0120934	0.00484504	0.00512231	0.00437526	0.00686032	0.00965846	0.00493351	0.0062884	0.00141605	0.0182175	0.00379713	0.00175197	0.0344993	0.00127609	0.0151846	0.0245374	0.00728388	0.000204494	0.0311323	0.0100883	0.00768399	0.0287599	0.0211839	0.00612756	0.00291694	0.0991563	0.0788868	0.0118398	0.000967581	0.00964125	0.00194135	0.027146	0.468483	0.531517	3.256561
36	-2365.259	-2435.017	69.75791	0.132046	0.114019	0.00832208	0.0897941	0.0552066	0.174209	0.033086	0.0364109	0.0608715	0.025834	0.0513316	0.149295	0.0300081	0.0313551	0.00347766	0.0341262	0.0128454	0.0640309	0.0251363	0.0270556	0.0366985	0.0290299	0.011281	0.00122478	0.0201094	0.032066	0.00776486	0.17071	0.00701891	0.0505666	0.010373	0.0041688	0.0564831	0.0171315	0.00120157	0.0181343	0.0112112	0.010211	0.0441792	0.0130405	0.0623558	0.0184082	0.00891583	0.00410772	0.312207	0.0168648	0.00787219	0.0371953	0.0891924	0.0107303	0.00304216	0.598772	1.23405	1.179651	0.8203494	0.142783	0.38702	0.74367	1.34468	2.58385	7.00366	1.407405	0.6954173	0.2830387	0.0578652	0.0499656	0.0036469	0.0393496	0.0241926	0.0763418	0.0144989	0.015956	0.0266751	0.011321	0.0224945	0.0654243	0.0131501	0.0137404	0.00152398	0.0149548	0.00562911	0.0280596	0.0110152	0.0118563	0.016082	0.0127215	0.00494358	0.000536722	0.00881234	0.0140519	0.00340272	0.0748086	0.00307583	0.0221593	0.00454567	0.00182685	0.0247521	0.00750737	0.000526553	0.00794683	0.00491299	0.00447465	0.0193602	0.0057146	0.0273256	0.00806685	0.0039071	0.00180009	0.136816	0.00739049	0.00344975	0.0162997	0.0390859	0.00470225	0.00133313	0.410175	0.589825	2.281958
72	-2374.533	-2443.283	68.74964	0.102386	0.135174	0.023158	0.0805616	0.104142	0.177515	0.0415829	0.0218825	0.0579537	0.0271281	0.0786295	0.04663	0.0243166	0.0171578	0.0117963	0.0241913	0.00457666	0.0914801	0.0246798	0.0374439	0.0172599	0.0384271	0.0400646	0.00193728	0.0154975	0.00875398	0.021521	0.00500777	0.0115543	0.0314218	0.0230857	0.0297241	0.0144969	0.0141821	0.00221996	0.0522758	0.038583	0.0318513	0.0219394	0.0294461	0.0259377	0.0180113	0.0493131	0.20735	0.00552408	0.0305477	0.0320158	0.281651	0.0176745	0.0056895	0.0621734	0.784947	1.12545	0.8862906	1.113709	0.123295	0.36029	0.72725	1.37504	2.77554	8.11063	1.51351	1.256596	0.4068476	0.0441792	0.0583268	0.00999258	0.0347619	0.0449369	0.076597	0.0179428	0.0094422	0.0250067	0.0117056	0.0339283	0.0201206	0.0104925	0.0074035	0.00509005	0.0104384	0.00197481	0.0394732	0.0106492	0.0161569	0.00744757	0.0165811	0.0172877	0.000835927	0.00668708	0.0037773	0.0092862	0.00216083	0.00498561	0.0135583	0.00996136	0.0128258	0.00625535	0.00611953	0.0009579	0.0225567	0.0166484	0.0137437	0.00946676	0.0127058	0.011192	0.00777178	0.0212784	0.0894703	0.00238362	0.0131812	0.0138146	0.121531	0.00762645	0.00245499	0.0268275	0.556855	0.443145	2.317523
108	-2364.476	-2433.21	68.73432	0.147776	0.139071	0.0701473	0.0873214	0.0614085	0.190548	0.0378608	0.0386995	0.0767172	0.0148437	0.0544961	0.121275	0.0267641	0.0286562	0.0109951	0.0471266	0.00936485	0.0637921	0.0470761	0.0406059	0.0272299	0.0270036	0.0204171	0.0169245	0.0253148	0.00588098	0.0113962	0.00170655	0.000351996	0.0200372	0.0154219	0.0494194	0.00821467	0.0191459	0.0119505	0.00544471	0.0404161	0.103861	0.0428989	0.0699359	0.0392159	0.019969	0.0427043	0.275343	0.00348219	0.00902564	0.0285167	0.361138	0.0543403	0.0143874	0.0744236	0.530624	1.2738	0.9468265	1.053174	0.162947	0.412775	0.758769	1.31792	2.42263	6.13696	1.311885	1.11232	0.2429975	0.0535409	0.0503868	0.0254151	0.0316375	0.022249	0.0690375	0.0137174	0.0140212	0.0277954	0.00537803	0.0197445	0.0439391	0.00969693	0.0103824	0.00398364	0.0170745	0.00339298	0.0231125	0.0170562	0.014712	0.0098657	0.00978368	0.00739731	0.00613193	0.00917184	0.00213074	0.00412897	0.000618301	0.000127532	0.00725968	0.00558751	0.0179052	0.00297626	0.00693676	0.00432979	0.00197267	0.0146432	0.0376301	0.0155427	0.0253385	0.0142083	0.00723499	0.0154722	0.0997597	0.00126163	0.00327009	0.0103319	0.130844	0.0196881	0.00521271	0.0269645	0.526587	0.473413	2.760062
144	-2368.75	-2437.323	68.57342	0.134538	0.113798	0.0296658	0.0681134	0.127995	0.166684	0.103889	0.0305827	0.113526	0.0493186	0.0759272	0.113801	0.0274877	0.0300296	0.010737	0.0561254	0.0360853	0.0834692	0.0370607	0.0433375	0.0228901	0.0230153	0.0242339	0.00275043	0.0214233	0.0102714	0.0131026	0.0255506	0.00304841	0.00986344	0.00956306	0.00587834	0.0227266	0.0267005	0.0112671	0.0173722	0.0460678	0.0189754	0.0158164	0.0929483	0.0158547	0.0744053	0.0244036	0.252236	0.010931	0.0320832	0.0112352	0.269398	0.0629981	0.00681593	0.0889952	0.727001	1.15925	0.9430433	1.056957	0.180729	0.434161	0.770821	1.29732	2.30329	5.53313	1.236993	1.120793	0.3658262	0.0493719	0.0417607	0.0108866	0.0249958	0.0469708	0.0611688	0.0381245	0.011223	0.0416611	0.0180986	0.0278632	0.0417619	0.0100873	0.0110201	0.00394018	0.0205965	0.0132423	0.030631	0.0136003	0.0159037	0.00840007	0.00844602	0.00889319	0.00100933	0.00786177	0.00376934	0.00480832	0.00937641	0.00111869	0.00361962	0.00350939	0.0021572	0.00834004	0.00979839	0.00413473	0.00637514	0.0169057	0.00696348	0.00580419	0.0341095	0.00581824	0.0273048	0.00895547	0.0925641	0.00401139	0.0117737	0.004123	0.0988619	0.0231186	0.00250126	0.0326589	0.528478	0.471522	2.724994
180	-2363.55	-2432.747	69.1965	0.12428	0.138627	0.0459642	0.0785321	0.0623941	0.124811	0.0219541	0.0108447	0.0672475	0.0182296	0.0814802	0.128174	0.0325363	0.0212875	0.0216546	0.0456515	0.037533	0.0918285	0.0372539	0.0299418	0.0420159	0.024592	0.0196772	0.00583316	0.0179751	0.00903742	0.00576026	0.00887171	0.0179114	0.104503	0.0145555	0.0269239	0.137864	0.0331195	0.0406467	0.00366234	0.01985	0.0399125	0.0399724	0.0231656	0.018555	0.0127853	0.0390194	0.0276519	0.00840807	0.00416716	0.263328	0.00336643	0.0235224	0.20728	0.00394292	0.615677	1.22419	0.9788951	1.021105	0.174816	0.427174	0.76693	1.3039	2.34097	5.72031	1.261048	1.04312	0.2933739	0.0503546	0.0561675	0.0186233	0.0318188	0.0252802	0.0505695	0.00889513	0.00439393	0.0272466	0.0073861	0.0330133	0.0519324	0.0131827	0.00862505	0.00877377	0.0184966	0.0152072	0.0372061	0.0150941	0.0121315	0.0170236	0.00996393	0.00797259	0.00236342	0.00728295	0.00366169	0.00233388	0.00359455	0.00725715	0.0423414	0.00589745	0.0109088	0.0558582	0.013419	0.0164688	0.00148387	0.00804261	0.0161713	0.0161956	0.009386	0.00751793	0.00518022	0.0158095	0.0112037	0.00340669	0.00168841	0.106693	0.00136397	0.00953055	0.0839834	0.00159755	0.510552	0.489448	2.468102
216	-2367.925	-2437.36	69.4355	0.129591	0.0710582	0.0509355	0.0443092	0.0705092	0.0795509	0.0637563	0.00821489	0.0525375	0.0340633	0.105646	0.0610006	0.0323922	0.0132515	0.0155835	0.026827	0.0178827	0.102695	0.0340372	0.0291913	0.00264596	0.0233397	0.00542349	0.0185068	0.0448162	0.00235909	0.00339834	0.000221962	0.001661	0.101893	0.0182926	0.00854018	0.0522785	0.031937	0.0175388	0.0102634	0.01748	0.0530118	0.032732	0.039738	0.00994551	0.0205688	0.0179444	0.0757289	0.00872024	0.00716671	0.171578	0.00108905	0.025743	0.260604	0.00842349	0.733549	1.15543	1.004704	0.9952963	0.139489	0.38264	0.741034	1.34947	2.61343	7.16903	1.424279	0.9906367	0.3703412	0.0606523	0.0332572	0.0238393	0.0207379	0.0330003	0.0372321	0.0298397	0.0038448	0.024589	0.0159426	0.0494451	0.02855	0.0151604	0.00620206	0.0072935	0.0125558	0.00836959	0.0480642	0.0159304	0.0136623	0.00123838	0.0109236	0.00253834	0.00866173	0.0209752	0.00110412	0.00159052	0.000103884	0.000777395	0.0476888	0.00856143	0.00399704	0.0244678	0.0149474	0.00820865	0.00480355	0.00818115	0.024811	0.0153195	0.0185985	0.00465478	0.00962678	0.00839848	0.0354433	0.00408132	0.00335422	0.0803034	0.000509708	0.0120484	0.12197	0.00394243	0.497648	0.502352	2.136623
252	-2372.016	-2440.856	68.83984	0.145316	0.0951663	0.0377196	0.0380684	0.0498892	0.108183	0.0257667	0.0465329	0.0751826	0.0194496	0.052241	0.0616863	0.014535	0.0305664	0.011771	0.0348903	0.0285439	0.0909382	0.0647222	0.029172	0.0119179	0.0278388	0.0176477	0.157683	0.015638	0.0162349	0.000391474	0.0113708	0.0449866	0.0441982	0.00612293	0.0476342	0.0199895	0.00732102	0.0222938	0.0270279	0.0203381	0.0670625	0.00577601	0.047575	0.0378324	0.0945773	0.0223992	0.22121	0.00101686	0.0553941	0.000493574	0.344933	0.0267221	0.00212109	0.106493	0.721615	1.16239	1.087293	0.9127066	0.129137	0.368517	0.732391	1.36539	2.71358	7.7437	1.480035	0.8394299	0.3621344	0.0560508	0.0367071	0.014549	0.0146836	0.019243	0.0417278	0.00993864	0.0179485	0.0289991	0.00750202	0.0201502	0.0237934	0.00560637	0.0117899	0.00454027	0.0134577	0.0110098	0.0350763	0.0249644	0.0112521	0.00459693	0.0107379	0.00680699	0.060821	0.00603181	0.00626204	0.000150998	0.00438588	0.017352	0.017048	0.00236171	0.0183733	0.00771025	0.00282383	0.00859907	0.0104251	0.00784474	0.0258671	0.0022279	0.0183504	0.0145925	0.03648	0.00863975	0.0853244	0.000392218	0.0213664	0.000190379	0.133046	0.0103071	0.000818137	0.0410761	0.456353	0.543647	2.592582
288	-2369.312	-2438.748	69.4361	0.138717	0.0482408	0.0350034	0.0141459	0.0252893	0.0642747	0.0694507	0.0197901	0.0381108	0.0095188	0.0339566	0.0435676	0.00658235	0.0133923	0.00509803	0.0128212	0.00658023	0.0822879	0.0267141	0.0145476	0.00433936	0.00994426	0.0107621	0.0368903	0.0192091	0.00132588	0.00255732	0.00479616	0.0109718	0.00871371	0.00478864	0.00844032	0.00544216	0.0102374	0.0134902	0.003308	0.00224296	0.0213433	0.00996683	0.0403821	0.0183584	0.0348372	0.004304	0.121296	0.000963026	0.0203472	9.17138e-05	0.154001	0.0150207	0.00127425	0.0402949	0.981086	1.01103	0.8744952	1.125505	0.0693878	0.272202	0.666341	1.50073	3.67375	14.4117	1.929179	1.287034	0.5660544	0.102904	0.0357861	0.0259664	0.0104937	0.0187602	0.0476805	0.0515201	0.0146808	0.0282715	0.00706127	0.0251898	0.0323195	0.00488294	0.00993469	0.00378183	0.00951106	0.00488136	0.0610431	0.0198171	0.0107917	0.00321904	0.00737688	0.00798357	0.0273661	0.0142498	0.000983568	0.00189708	0.0035579	0.00813913	0.00646403	0.00355233	0.00626122	0.00403712	0.00759436	0.0100073	0.00245395	0.00166388	0.015833	0.00739363	0.0299564	0.0136187	0.025843	0.00319281	0.0899805	0.000714395	0.015094	6.80354e-05	0.114241	0.0111427	0.000945266	0.0298917	0.562752	0.437248	1.34803
324	-2379.597	-2448.33	68.73314	0.148171	0.107874	0.0457311	0.0587876	0.111363	0.197952	0.0552787	0.0107472	0.0591633	0.028739	0.149398	0.100021	0.0197053	0.0241703	0.00696158	0.0564916	0.0479246	0.144205	0.0277418	0.0260081	0.0128518	0.0191122	0.0132701	0.0228219	0.0248704	0.00795337	0.0154379	0.00315527	0.0140727	0.00598985	0.0211721	0.0223381	0.04036	0.0327711	0.0433835	0.0071074	0.0241713	0.084018	0.039046	0.0750139	0.00297737	0.0152916	0.00360718	0.0669321	0.0305475	0.01316	0.212242	0.0111655	0.0651846	0.227542	0.00400612	0.431481	1.33164	0.8217489	1.178251	0.135309	0.377005	0.737612	1.35573	2.65249	7.39046	1.446276	1.433834	0.1890136	0.0568141	0.0413626	0.0175349	0.0225412	0.0427003	0.0759017	0.0211958	0.00412084	0.0226853	0.0110195	0.0572843	0.0383515	0.00755568	0.00926773	0.00266931	0.0216608	0.018376	0.0552931	0.0106372	0.0099724	0.00492784	0.00732827	0.00508822	0.00875071	0.00953618	0.0030496	0.00591942	0.00120984	0.00539595	0.00229672	0.00811811	0.00856519	0.0154754	0.0125656	0.0166347	0.00272522	0.00926811	0.0322154	0.0149716	0.0287629	0.00114163	0.00586333	0.00138312	0.0256641	0.011713	0.00504599	0.0813808	0.00428124	0.024994	0.0872475	0.00153608	0.589126	0.410874	2.608007
